stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
6229,6229,University/Sandy Brook,000000 UNIVERSITY & SANDY BROOK,30.567009,-97.665125,,https://www.capmetro.org/stopdetail/index.php?stop=6229,,,,0,Southwest,Nearside,UNIVERSITY,SANDY BROOK,70
6230,6230,University/Sandy Brook,000000 UNIVERSITY & SANDY BROOK,30.567374,-97.664627,,https://www.capmetro.org/stopdetail/index.php?stop=6230,,,,0,Northeast,Nearside,UNIVERSITY,SANDY BROOK,251
6232,6232,College Park/University,000000 COLLEGE PARK & UNIVERSITY,30.566885,-97.658493,,https://www.capmetro.org/stopdetail/index.php?stop=6232,,,,0,Southeast,Mid-Block,COLLEGE PARK,UNIVERSITY,342
6233,6233,ACC - Round Rock,000000 COLLEGE PARK & AVERY-NELSON,30.562381,-97.656457,,https://www.capmetro.org/stopdetail/index.php?stop=6233,,,,0,Northwest,Mid-Block,COLLEGE PARK,AVERY-NELSON,153
6234,6234,2800 La Frontera/Louis Henna,002800 LA FRONTERA & LOUIS HENNA,30.478191,-97.685344,,https://www.capmetro.org/stopdetail/index.php?stop=6234,,,,0,Southwest,Mid-Block,LA FRONTERA,LOUIS HENNA,193
6235,6235,La Frontera/Louis Henna,000000 LA FRONTERA & LOUIS HENNA,30.477587,-97.685244,,https://www.capmetro.org/stopdetail/index.php?stop=6235,,,,0,Southeast,Mid-Block,LA FRONTERA,LOUIS HENNA,22
6240,6240,Greenlawn/Parkside,000000 GREENLAWN & PARKSIDE,30.497075,-97.665437,,https://www.capmetro.org/stopdetail/index.php?stop=6240,,,,0,Southwest,Farside,GREENLAWN,PARKSIDE,188
6241,6241,SH 71/Thornberry,000000 SH 71 & THORNBERRY,30.219402,-97.670379,,https://www.capmetro.org/stopdetail/index.php?stop=6241,,,,0,Northwest,Farside,SH 71,THORNBERRY,300
6242,6242,408 Shady/5th,000408 SHADY & 5TH,30.251947,-97.698460,,https://www.capmetro.org/stopdetail/index.php?stop=6242,,,,0,Southwest,Farside,SHADY,5TH,201
6243,6243,506 Campbell/6th,000506 CAMPBELL & 6TH,30.275477,-97.764496,,https://www.capmetro.org/stopdetail/index.php?stop=6243,,,,0,Southwest,Farside,CAMPBELL,6TH,209
6250,6250,1300 Mearns Meadow/Parkfield,001300 MEARNS MEADOW & PARKFIELD,30.371787,-97.702814,,https://www.capmetro.org/stopdetail/index.php?stop=6250,,,,0,Southeast,Nearside,MEARNS MEADOW,PARKFIELD,322
6251,6251,1225 Mearns Meadow/Parkfield,001225 MEARNS MEADOW & PARKFIELD,30.371871,-97.703081,,https://www.capmetro.org/stopdetail/index.php?stop=6251,,,,0,Southeast,Farside,MEARNS MEADOW,PARKFIELD,143
6254,6254,9507 Mountain Quail/Rutland,009507 MOUNTAIN QUAIL & RUTLAND,30.371326,-97.709486,,https://www.capmetro.org/stopdetail/index.php?stop=6254,,,,0,Northwest,Nearside,MOUNTAIN QUAIL,RUTLAND,210
6255,6255,9512 Mountain Quail/Rutland,009512 MOUNTAIN QUAIL & RUTLAND,30.371315,-97.709301,,https://www.capmetro.org/stopdetail/index.php?stop=6255,,,,0,Northeast,Farside,MOUNTAIN QUAIL,RUTLAND,30
6256,6256,1107 Mearns Meadow/Quail,001107 Mearns Meadow & Quail,30.369771,-97.700627,,https://www.capmetro.org/stopdetail/index.php?stop=6256,,,,0,Northwest,Farside,Mearns Meadow,Quail,302
6257,6257,1106 Mearns Meadow/Quail,001106 Mearns Meadow & Quail,30.369664,-97.700786,,https://www.capmetro.org/stopdetail/index.php?stop=6257,,,,0,Southwest,Nearside,Mearns Meadow,Quail,122
6258,6258,1020 Mearns Meadow/Rutland,001020 Mearns Meadow & Rutland,30.366754,-97.700870,,https://www.capmetro.org/stopdetail/index.php?stop=6258,,,,0,Southwest,Farside,Mearns Meadow,Rutland,210
6259,6259,5103 Cesar Chavez/Shady,005103 CESAR CHAVEZ & SHADY,30.251442,-97.698390,,https://www.capmetro.org/stopdetail/index.php?stop=6259,,,,0,Northeast,Nearside,CESAR CHAVEZ,SHADY,275
6260,6260,5024 Cesar Chavez/Shady,005024 CESAR CHAVEZ & SHADY,30.251342,-97.698744,,https://www.capmetro.org/stopdetail/index.php?stop=6260,,,,0,Southwest,Nearside,CESAR CHAVEZ,SHADY,96
6261,6261,3513 Cesar Chavez/Springdale,003513 CESAR CHAVEZ & SPRINGDALE,30.252043,-97.704602,,https://www.capmetro.org/stopdetail/index.php?stop=6261,,,,0,Northwest,Farside,CESAR CHAVEZ,SPRINGDALE,270
6262,6262,3522 Cesar Chavez/Red Bluff,003522 CESAR CHAVEZ & RED BLUFF,30.251831,-97.704536,,https://www.capmetro.org/stopdetail/index.php?stop=6262,,,,0,Southwest,Nearside,CESAR CHAVEZ,RED BLUFF,90
